rowNr	clade	node	leaf	edge.l	kr.0	kr.1	kr.u	acc	sp	gc.12	gc.3	aKRAB	gen.gc	label
1	1	17	TRUE	0.260394595511511	1	0	0	GCF_029633855.1	Hoplias_malabaricus	48.09	53.44	0	0.409428732618264	GCF_029633855.1_Hoplias_malabaricus
2	1	18	TRUE	0.10169046899207	1	0	0	GCF_030463535.1	Salminus_brasiliensis	48.78	58.59	0	0.412554848205817	GCF_030463535.1_Salminus_brasiliensis
3	1	19	TRUE	0.175066817267823	1	0	0	GCF_023375975.1	Astyanax_mexicanus	48.74	58.57	0	0.382176686283279	GCF_023375975.1_Astyanax_mexicanus
5	1	20	TRUE	0.146567591071286	1	0	0	GCF_015220715.1	Pygocentrus_nattereri	48.31	57.14	0	0.405773505887516	GCF_015220715.1_Pygocentrus_nattereri
8	1	21	TRUE	0.295179646885064	1	0	0	GCF_030014385.1	Trichomycterus_rosablanca	48.83	56.5	0	0.402506396883863	GCF_030014385.1_Trichomycterus_rosablanca
9	1	22	TRUE	0.174637064101873	1	0	0	GCA_946808225.1	Silurus_aristotelis	48.85	57.13	0	0.38878083217594	GCA_946808225.1_Silurus_aristotelis
10	1	23	TRUE	0.167919084892795	1	0	0	GCA_024256435.1	Clarias_gariepinus	48.94	57.3	0	0.389725784464147	GCA_024256435.1_Clarias_gariepinus
11	1	24	TRUE	0.097912526916011	1	0	0	GCF_027579695.1	Neoarius_graeffei	48.93	56.7	0	0.424449837107221	GCF_027579695.1_Neoarius_graeffei
12	1	25	TRUE	0.062635897665349	1	0	0	GCF_027358585.1	Pangasianodon_hypophthalmus	48.96	58.1	0	0.389839121020307	GCF_027358585.1_Pangasianodon_hypophthalmus
110	2	26	TRUE	0.267648426489078	1	0	0	GCA_947034865.1	Barbatula_barbatula	48	53.22	0	0.39684390008523	GCA_947034865.1_Barbatula_barbatula
24	2	27	TRUE	0.233800616910596	1	0	0	GCA_944039275.1	Danio_rerio	48.41	54.44	0	0.370747703483613	GCA_944039275.1_Danio_rerio
32	2	28	TRUE	0.082950948369936	1	0	0	GCF_963082965.1	Carassius_carassius	48.23	55.81	0	0.38304147670456	GCF_963082965.1_Carassius_carassius
4	2	29	TRUE	0.050787137766306	1	0	0	GCA_936440315.1	Barbus_barbus	48.23	56.05	0	0.378870167707165	GCA_936440315.1_Barbus_barbus
6	2	30	TRUE	0.038115988750597	1	0	0	GCA_949357685.1	Gobio_gobio	48.2	57.04	0	0.397259088658079	GCA_949357685.1_Gobio_gobio
7	2	31	TRUE	0.043628669945005	1	0	0	GCA_048301585.1	Rhinogobio_nasutus	48.17	55.1	0	0.389498280382661	GCA_048301585.1_Rhinogobio_nasutus
91	2	32	TRUE	0.022053857657001	1	0	0	GCA_965113295.1	Leuciscus_leuciscus	48.12	56.35	0	0.39002621050168	GCA_965113295.1_Leuciscus_leuciscus
101	2	33	TRUE	0.018975140827767	1	0	0	GCA_963993115.1	Abramis_brama	48.11	56.59	0	0.386102730451718	GCA_963993115.1_Abramis_brama
121	2	34	TRUE	0.010525055592655	1	0	0	GCA_951802725.1	Rutilus_rutilus	48.08	56.66	0	0.387972200397652	GCA_951802725.1_Rutilus_rutilus
13	2	35	TRUE	0.010710272330589	1	0	0	GCA_964197995.1	Scardinius_erythrophthalmus	48.08	56.64	0	0.389761987941513	GCA_964197995.1_Scardinius_erythrophthalmus
14	2	36	TRUE	0.009526013477533	1	0	0	GCA_949319135.1	Squalius_cephalus	48.07	56.67	0	0.387199193236822	GCA_949319135.1_Squalius_cephalus
18	2	37	TRUE	0.039351861564558	1	0	0	GCA_949152265.1	Phoxinus_phoxinus	48.38	57.59	0	0.391965875377806	GCA_949152265.1_Phoxinus_phoxinus
19	2	38	TRUE	0.052533644408759	1	0	0	GCA_038024135.1	Cyprinella_venusta	48.23	57.13	0	0.387510242418624	GCA_038024135.1_Cyprinella_venusta
111	3	68	TRUE	0.388695604962464	1	0	0	GCF_901000725.2	Takifugu_rubripes	48.84	60.06	0	0.456592479134124	GCF_901000725.2_Takifugu_rubripes
25	3	69	TRUE	0.365610949960428	1	0	0	GCF_900634775.1	Gouania_willdenowi	48.8	58.42	0	0.382637998700662	GCF_900634775.1_Gouania_willdenowi
36	3	70	TRUE	0.235418471941349	1	0	0	GCF_009829125.3	Periophthalmus_magnuspinnatus	48.87	55.44	0	0.402129239390754	GCF_009829125.3_Periophthalmus_magnuspinnatus
42	3	71	TRUE	0.207102193442244	1	0	0	GCA_951799975.1	Gobius_niger	49.38	61.46	0	0.420895090180502	GCA_951799975.1_Gobius_niger
73	3	72	TRUE	0.010630118484668	1	0	0	GCF_901709675.1	Syngnathus_acus	49.44	62.58	0	0.434352309316041	GCF_901709675.1_Syngnathus_acus
81	3	73	TRUE	0.017792534488017	1	0	0	GCA_048301445.1	Syngnathus_typhle	49.47	62.91	0	0.43402683288821	GCA_048301445.1_Syngnathus_typhle
108	3	74	TRUE	0.078268625348722	1	0	0	GCA_044231675.1	Synchiropus_picturatus	49.63	65.53	0	0.435051545520988	GCA_044231675.1_Synchiropus_picturatus
112	3	75	TRUE	0.086771727629293	1	0	0	GCA_044231665.1	Neosynchiropus_ocellatus	49.44	65.18	0	0.454255523083846	GCA_044231665.1_Neosynchiropus_ocellatus
113	4	76	TRUE	0.192897320547479	1	0	0	GCF_900634625.1	Parambassis_ranga	48.32	54.84	0	0.423648652351226	GCF_900634625.1_Parambassis_ranga
26	4	77	TRUE	0.151382488886369	1	0	0	GCA_963514085.1	Chelon_labrosus	48.49	59.83	0	0.422453870219695	GCA_963514085.1_Chelon_labrosus
46	4	78	TRUE	0.196045419459258	0	0	1	GCA_049082185.1	Cristiceps_australis	49.44	65.59	NA	NA	GCA_049082185.1_Cristiceps_australis
54	4	79	TRUE	0.117776806987645	1	0	0	GCF_902148845.1	Salarias_fasciatus	49.65	68.5	0	0.443195296769373	GCF_902148845.1_Salarias_fasciatus
62	4	80	TRUE	0.080140926434932	1	0	0	GCA_963422515.1	Blennius_ocellaris	49.83	68.21	0	0.430495837735585	GCA_963422515.1_Blennius_ocellaris
78	4	81	TRUE	0.03976114011868	1	0	0	GCA_963383615.1	Lipophrys_pholis	49.36	65.7	0	0.425030017946236	GCA_963383615.1_Lipophrys_pholis
114	4	82	TRUE	0.249089214998826	1	0	0	GCA_020510985.1	Pholidichthys_leucotaenia	48.39	56.17	0	0.445156095245543	GCA_020510985.1_Pholidichthys_leucotaenia
122	4	83	TRUE	0.075141751559837	1	0	0	GCF_007364275.1	Archocentrus_centrarchus	48.45	55.89	0	0.412292702147347	GCF_007364275.1_Archocentrus_centrarchus
131	4	84	TRUE	0.004706354073554	1	0	0	GCA_963969265.1	Rhamphochromis_sp._chilingali	48.39	56.06	0	0.411634575817604	GCA_963969265.1_Rhamphochromis_sp._chilingali
141	4	85	TRUE	0.001193132734547	1	0	0	GCA_965226115.1	Aulonocara_stuartgranti	48.39	56.12	0	0.410966402458763	GCA_965226115.1_Aulonocara_stuartgranti
15	4	86	TRUE	0.001206300508109	1	0	0	GCA_964374335.1	Astatotilapia_calliptera	48.39	56.12	0	0.411574161837131	GCA_964374335.1_Astatotilapia_calliptera
20	4	87	TRUE	0.206869893058635	1	0	0	GCA_014839995.1	Xenentodon_cancila	48.6	57	0	0.413842319998927	GCA_014839995.1_Xenentodon_cancila
21	4	88	TRUE	0.118773792531812	1	0	0	GCA_037039145.1	Fundulus_diaphanus	49.31	62.27	0	0.412246273299076	GCA_037039145.1_Fundulus_diaphanus
22	4	89	TRUE	0.088085644316115	1	0	0	GCF_021462225.1	Girardinichthys_multiradiatus	48.6	55.41	0	0.401751986690613	GCF_021462225.1_Girardinichthys_multiradiatus
23	4	90	TRUE	0.100973184627623	1	0	0	GCA_014839685.1	Anableps_anableps	48.8	57.02	0	0.385384237913474	GCA_014839685.1_Anableps_anableps
27	4	91	TRUE	0.072046019992173	1	0	0	GCF_017639745.1	Melanotaenia_boesemani	48.17	53.79	0	0.396415411735906	GCF_017639745.1_Melanotaenia_boesemani
