rowNr	clade	node	leaf	edge.l	kr.0	kr.1	kr.u	acc	sp	gc.12	gc.3	aKRAB	gen.gc	label
1	1	7	TRUE	0.211507099869092	0	1	0	GCF_013368585.1	Megalops_cyprinoides	48.41	68.69	60.8	0.430246398599055	GCF_013368585.1_Megalops_cyprinoides
2	1	8	TRUE	0.138659675049889	0	1	0	GCF_963514075.1	Conger_conger	49.18	71.67	54.1	0.438667972931837	GCF_963514075.1_Conger_conger
3	1	9	TRUE	0.100833368000553	0	1	0	GCF_013347855.1	Anguilla_anguilla	49.07	71.7	61	0.436368560463249	GCF_013347855.1_Anguilla_anguilla
4	2	11	TRUE	0.192801794109735	0	1	0	GCA_048544225.1	Coilia_mystus	49.01	65.88	48.6	0.44367280011443	GCA_048544225.1_Coilia_mystus
5	2	12	TRUE	0.137535989644235	0	1	0	GCA_963457725.1	Sprattus_sprattus	49.1	63.81	54	0.438027071595459	GCA_963457725.1_Sprattus_sprattus
6	2	13	TRUE	0.067756609506752	0	1	0	GCF_963854185.1	Sardina_pilchardus	48.91	64.26	53.5	0.444357351027966	GCF_963854185.1_Sardina_pilchardus
7	2	14	TRUE	0.056108802904516	0	1	0	GCF_018492685.1	Alosa_sapidissima	48.84	62.42	60.5	0.431760732009231	GCF_018492685.1_Alosa_sapidissima
11	3	39	TRUE	0.095962495911108	0	1	0	GCA_963989245.1	Nansenia_antarctica	49.49	71.64	49.1	0.451385750680079	GCA_963989245.1_Nansenia_antarctica
22	3	40	TRUE	0.062668105955623	0	1	0	GCA_951799395.1	Argentina_silus	48.9	67.79	57.6	0.44642953814672	GCA_951799395.1_Argentina_silus
44	3	41	TRUE	0.223899406531778	0	1	0	GCF_011004845.1	Esox_lucius	49.05	63.35	56.1	0.42220560838461	GCF_011004845.1_Esox_lucius
54	3	42	TRUE	0.042465877109682	0	1	0	GCA_964263955.1	Coregonus_lavaretus	48.64	65.98	65.7	0.43661599917243	GCA_964263955.1_Coregonus_lavaretus
61	3	43	TRUE	0.031491334677021	0	1	0	GCA_901001165.2	Salmo_trutta	48.74	65.15	62.3	0.433327423485499	GCA_901001165.2_Salmo_trutta
72	3	44	TRUE	0.033729720582739	0	1	0	GCA_036784965.1	Salvelinus_alpinus	48.82	65.32	63.5	0.433676401979537	GCA_036784965.1_Salvelinus_alpinus
12	3	45	TRUE	0.173932069689835	0	1	0	GCA_949987555.1	Borostomias_antarcticus	49.4	72.64	54.6	0.462375977597583	GCA_949987555.1_Borostomias_antarcticus
13	3	46	TRUE	0.010926727968551	0	1	0	GCF_963692335.1	Osmerus_eperlanus	49.25	68.57	52.3	0.452617496241204	GCF_963692335.1_Osmerus_eperlanus
14	3	47	TRUE	0.007322799783339	0	1	0	GCA_038355195.1	Osmerus_mordax	49.16	68.5	52.2	0.454305396432634	GCA_038355195.1_Osmerus_mordax
17	3	48	TRUE	0.38990254736315	0	1	0	GCA_017639675.1	Aplochiton_taeniatus	49.58	66.35	62.4	0.450112207333687	GCA_017639675.1_Aplochiton_taeniatus
18	3	49	TRUE	0.234453667325645	0	1	0	GCA_963971535.1	Notolepis_coatsi	49.2	70.99	42.5	0.445458589760177	GCA_963971535.1_Notolepis_coatsi
19	3	50	TRUE	0.08072505722692	0	1	0	GCA_963921795.1	Nannobrachium_achirus	49.19	66.96	46.2	0.426883645274745	GCA_963921795.1_Nannobrachium_achirus
23	3	53	TRUE	0.020651629688919	0	1	0	GCA_951216825.1	Electrona_antarctica	49.18	65.8	27.6	0.435040273763454	GCA_951216825.1_Electrona_antarctica
24	3	54	TRUE	0.018280104211487	0	1	0	GCA_964188405.1	Protomyctophum_parallelum	49.13	65.72	39.9	0.429094187048393	GCA_964188405.1_Protomyctophum_parallelum
30	3	56	TRUE	0.368664768688525	0	1	0	GCA_046255685.1	Amblyopsis_spelaea	49.38	61.88	35.8	0.418441406554242	GCA_046255685.1_Amblyopsis_spelaea
33	3	59	TRUE	0.054985238306722	0	1	0	GCA_964030765.1	Micromesistius_poutassou	50.89	76.49	39	0.455937727360187	GCA_964030765.1_Micromesistius_poutassou
34	3	60	TRUE	0.036503157129076	0	1	0	GCF_902167405.1	Gadus_morhua	50.83	75.05	41.9	0.456261380869293	GCF_902167405.1_Gadus_morhua
42	3	63	TRUE	0.017370904413315	0	1	0	GCA_048537225.1	Polymixia_cf._hollisterae	48.57	62.24	44.3	0.433153241074397	GCA_048537225.1_Polymixia_cf._hollisterae
43	3	64	TRUE	0.011861811492391	0	1	0	GCA_047511565.1	Polymixia_lowei	48.51	62.51	44.3	0.433532136871404	GCA_047511565.1_Polymixia_lowei
